Fight_ID,Location_ID,Brand_ID,PPV_ID,Championship_ID,FightType_ID,Season_ID,Month,Week,Contender_Indicator
2392,1,1,,,1,6,1,1,
2393,1,1,,,1,6,1,1,
2394,1,1,,,1,6,1,1,
2395,1,1,,,1,6,1,1,
2396,1,1,,,1,6,1,1,
2397,52,2,,,1,6,1,1,
2398,52,2,,,1,6,1,1,
2399,52,2,,,1,6,1,1,
2400,52,2,,,1,6,1,1,
2401,52,2,,,1,6,1,1,
2402,57,3,,,1,6,1,2,
2403,57,3,,,1,6,1,2,
2404,57,3,,,1,6,1,2,
2405,57,3,,,1,6,1,2,
2406,57,3,,,1,6,1,2,
2407,66,1,,,1,6,1,2,
2408,66,1,,,12,6,1,2,Y
2409,66,1,,,1,6,1,2,
2410,66,1,,,1,6,1,2,
2411,66,1,,,1,6,1,2,Y
2412,68,2,,,1,6,1,2,
2413,68,2,,,1,6,1,2,
2414,68,2,,,4,6,1,2,Y
2415,68,2,,,1,6,1,2,
2416,68,2,,,1,6,1,2,Y
2417,75,3,,,1,6,1,3,
2418,75,3,,,1,6,1,3,
2419,75,3,,,1,6,1,3,
2420,75,3,,,1,6,1,3,
2421,75,3,,,1,6,1,3,Y
2422,53,1,,,1,6,1,3,
2423,53,1,,,1,6,1,3,Y
2424,53,1,,,1,6,1,3,
2425,53,1,,,1,6,1,3,
2426,53,1,,,2,6,1,3,Y
2427,107,2,,,1,6,1,3,
2428,107,2,,,1,6,1,3,
2429,107,2,,,1,6,1,3,
2430,107,2,,,1,6,1,3,
2431,107,2,,,1,6,1,3,Y
2432,56,3,,,1,6,1,4,
2433,56,3,,,1,6,1,4,
2434,56,3,,,1,6,1,4,Y
2435,56,3,,,1,6,1,4,
2436,56,3,,,1,6,1,4,Y
2437,45,,1,3,4,6,1,4,
2438,45,,1,5,1,6,1,4,
2439,45,,1,9,1,6,1,4,
2440,45,,1,11,12,6,1,4,
2441,45,,1,2,1,6,1,4,
2442,45,,1,6,2,6,1,4,
2443,45,,1,8,1,6,1,4,
2444,45,,1,1,1,6,1,4,
2445,45,,1,4,1,6,1,4,
2446,45,,1,7,1,6,1,4,
2447,45,,1,,8,6,1,4,
2448,38,1,,,1,6,2,1,
2449,38,1,,,1,6,2,1,
2450,38,1,,,1,6,2,1,
2451,38,1,,,1,6,2,1,
2452,38,1,,,2,6,2,1,Y
2453,61,2,,,1,6,2,1,
2454,61,2,,,1,6,2,1,
2455,61,2,,,1,6,2,1,
2456,61,2,,,1,6,2,1,
